comment_imgs,content,date_buy,modal_id,rate_star,time_up,user_id,user_name
,Add cho e hỏi e mua ip12 ở điện máy xanh giờ e muốn bán lại thì dược bao tiền ạ . ngày mua 19/8 . tình trạng máy : đẹp k trầy xước ạ,20/08/2021,213031.0,4.0,24/10/2021,48995283,Đào Ngọc Chung
,"Em mua con 12 64gb , lúc sử dụng bị tróc nhẹ viền sơn có đc bảo hành không ad ....",05/10/2021,213031.0,4.0,21/10/2021,48932516,Anh Tú
,Làm ăn chán ghê toàn lỗi ý là đổi trong cái thứ2 về vẫn lỗi giờ chịu chứ đem lên đòi gửi hãng ngta bỏ 20 30tr chứ ít ỏi gì..,29/05/2021,213031.0,1.0,18/10/2021,48892253,Tuyetlan
,Mình mới mua hôm qua thì thấy nó quá tệ hại pin hai rất nhanh lướt mình lướt wed với chơi game thôi mà nó cũng tuột từ 100% mà nó chỉ còn 10% trong vòng 4 tiếng,09/10/2021,213031.0,1.0,10/10/2021,48747767,Phạm Quốc Trung
,Lần đầu dùng iphone. Khá hài lòng :D hi vọng máy không bị lỗi sau 1 tgian sử dụng,01/10/2021,213031.0,5.0,03/10/2021,48613420,Long
,"Sản phẩm tốt,chất lượng camera chụp đẹp.Tiền nào thì của nấy thôi...............",28/09/2021,213031.0,5.0,03/10/2021,48610434,Nguyễn Tấn Lộc
,Vừa mua 12 bản 64gb. Muốn lên 128gb thì bù bao nhiêu ạ..e mới mua được 2 ngày rồi ạ,22/09/2021,213031.0,5.0,23/09/2021,48306731,Nguyễn tấn tài
"48300594/CC65D5A6-341E-409A-A743-319EA65505C8UH2UY.jpeg,48300594/C3ACF313-F150-4800-ACDD-E537A35BD15EFQSHG.png,48300594/D03F9764-24F9-4E4B-914D-97752CE0ABA70TXMI.png","Xài rất ổn nha mn ơi. Pin tuy 2815 chứ trâu lắm à nha. Cam cũng đẹp, độ chi tiết cao nhưng ko rực rỡ như not10+. Lướt web mượt mà. Đặc biệt gọi zalo máy mát rượi. Sạc pin tầm 1h20 = củ sạc 12W của ipad. Mua 03/7/2021 tới giờ vẫn ngon và chưa có ý định lên ip13. Đáng mua sử dụng lâu dài nha ahihi",03/07/2021,213031.0,5.0,22/09/2021,48300594,Sala
,E mới mua điện thoại được 3 ngày mà không bị lỗi nhưng e muốn đổi màu khác thì được k ạ,12/09/2021,213031.0,4.0,14/09/2021,48060704,Phạm Mỹ Huyền
,Cho em hơi em mới mua ip12 màu đen . Nó bị bong tróc Sơn ở viền máy có được bảo hành k vậy ạ,10/06/2021,213031.0,3.0,09/09/2021,47933010,Thế lữ
,Mua được 1 ngày không biết có lỗi gì không mà tải app siêu chậm…………………………………………..,05/09/2021,213031.0,3.0,06/09/2021,47859957,Nguyễn Minh Đức
